開始フレーム,終了フレーム,フォーメーション,方向,信頼度,内訳
58595,58597,0--6,left,1.0,0--6: 3
58598,58598,1--5,right,1.0,1--5: 1
58599,58599,0--6,left,1.0,0--6: 1
58970,59440,1--5,right,1.0,"0--6: 170, 1--5: 204, 2--4: 2"
59493,59500,1--5,left,1.0,1--5: 7
59502,59678,0--6,left,1.0,"1--5: 23, 0--6: 130"
59983,60164,2--4,left,1.0,"0--6: 15, 1--5: 57, 2--4: 59"
60297,60832,1--5,right,1.0,"0--6: 197, 1--5: 332"
61060,61063,1--5,left,1.0,"1--5: 1, 0--6: 1"
61117,61153,0--6,left,1.0,0--6: 2
61163,61205,0--6,left,1.0,"0--6: 1, 1--5: 1"
61214,61262,0--6,left,1.0,"0--6: 1, 1--5: 1"
61270,61353,0--6,left,1.0,"0--6: 1, 1--5: 1"
61513,61533,0--6,left,1.0,0--6: 2
61554,61564,0--6,left,1.0,0--6: 7
61679,61758,0--6,right,1.0,"0--6: 21, 1--5: 1"
61890,62168,0--6,right,1.0,"0--6: 215, 1--5: 3"
62170,62173,1--5,right,1.0,"1--5: 3, 2--4: 1"
62182,62269,0--6,right,1.0,"0--6: 29, 1--5: 14, 2--4: 2"
62271,62306,1--5,right,1.0,"1--5: 27, 0--6: 5, 2--4: 3"
62588,62630,1--5,left,1.0,"2--4: 1, 1--5: 2"
62757,62930,0--6,right,1.0,"0--6: 73, 1--5: 8, 2--4: 17, 3--3: 6, Unknown: 5"
63021,63024,0--6,left,1.0,0--6: 3
63027,63032,0--6,left,1.0,0--6: 5
63034,63156,2--4,left,1.0,"0--6: 4, 3--3: 11, Unknown: 6, 2--4: 19, 1--5: 5"
63398,63403,2--4,right,1.0,2--4: 5
63405,63416,1--5,right,1.0,"1--5: 8, 2--4: 2, 0--6: 1"
63481,64095,0--6,left,1.0,"0--6: 303, 1--5: 89, 2--4: 136, 3--3: 65, Unknown: 20"
64096,64096,1--5,right,1.0,1--5: 1
64097,64100,2--4,left,1.0,2--4: 4
64101,64119,1--5,right,1.0,1--5: 2
64123,64188,2--4,left,1.0,"3--3: 12, Unknown: 3, 2--4: 27, 1--5: 11"
64443,64794,0--6,right,1.0,"0--6: 220, 1--5: 57, 2--4: 20"
64917,65264,1--5,right,1.0,"0--6: 29, 1--5: 50, 2--4: 38"
65463,65506,0--6,right,1.0,"0--6: 18, 1--5: 3"
65718,65719,0--6,left,1.0,0--6: 2
65720,65720,0--6,right,1.0,0--6: 1
65721,65727,0--6,left,1.0,0--6: 2
65728,65728,0--6,right,1.0,0--6: 1
65729,65735,0--6,left,1.0,0--6: 7
65736,65737,0--6,right,1.0,0--6: 2
65738,65739,0--6,left,1.0,0--6: 2
65740,65740,0--6,right,1.0,0--6: 1
65741,66139,0--6,left,1.0,"0--6: 175, 1--5: 134, 2--4: 20, 3--3: 20, Unknown: 29"
66140,66140,2--4,right,1.0,2--4: 1
66141,66150,0--6,left,1.0,0--6: 10
66151,66154,2--4,right,1.0,2--4: 4
66155,66155,0--6,left,1.0,0--6: 1
66156,66157,2--4,right,1.0,2--4: 2
66158,66158,0--6,left,1.0,0--6: 1
66159,66161,1--5,right,1.0,1--5: 3
66162,66165,0--6,left,1.0,0--6: 4
66166,66168,1--5,right,1.0,"1--5: 2, 2--4: 1"
66169,66171,0--6,left,1.0,0--6: 3
66172,66172,3--3,right,1.0,3--3: 1
66173,66173,0--6,left,1.0,0--6: 1
66174,66174,2--4,right,1.0,2--4: 1
66175,66175,0--6,left,1.0,0--6: 1
66176,66177,2--4,right,1.0,2--4: 2
66178,66178,0--6,left,1.0,0--6: 1
66179,66179,1--5,right,1.0,1--5: 1
66180,66184,0--6,left,1.0,0--6: 5
66185,66191,1--5,right,1.0,"2--4: 2, 1--5: 5"
66192,66535,0--6,left,1.0,0--6: 9
66537,66596,0--6,left,1.0,0--6: 60
66598,66650,0--6,left,1.0,0--6: 53
66652,67009,0--6,left,1.0,"0--6: 206, 1--5: 13, 3--3: 34, 2--4: 29, Unknown: 20"
67287,67886,1--5,left,1.0,"1--5: 101, 3--3: 42, 2--4: 31"
68154,68279,0--6,right,1.0,"0--6: 123, 1--5: 2"
68342,68364,0--6,right,1.0,0--6: 9
68368,68400,0--6,right,1.0,"0--6: 9, 1--5: 5, 2--4: 1"
68412,69147,1--5,right,1.0,"0--6: 194, 1--5: 520, 3--3: 1, 2--4: 19"
69149,69334,1--5,right,1.0,"1--5: 99, 0--6: 62, 2--4: 22"
69403,69594,2--4,right,1.0,"2--4: 73, 1--5: 68, 0--6: 38, 3--3: 1, Unknown: 6"
69928,70203,0--6,left,1.0,0--6: 115
